id,name,element,hp,atk,def,spd,total,talent,variant,series
329,Mikasa Ackerman,Ground,66,83,78,93,320,Dexterity Drive,Ground,Attack On Titan
330,Mikey,Dark,85,81,75,88,329,Breaker,DEF,Tokyo Revengers
331,Miko,Fire,87,92,73,72,324,Transformation,ATK,No Game No Life
332,Miko Iino,Ground,93,77,79,86,335,Paralysis,-,Love Is War
333,Miku (390),Neutral,93,87,74,71,325,Offensive Stance,-,Darling In The Franxx
334,Miku Nakano,Electric,95,76,76,76,323,Celestial Influence,-,The Quintessential Quintuplets
335,Milim Nava,Ground,70,90,92,72,324,Celestial Influence,-,Tensei Shitara Slime Datta Ken
336,Minako Aino (Sailor Venus),Neutral,66,80,94,87,327,Elemental Strike,Neutral/ATK,Sailor Moon
337,Minato Namikaze,Electric,73,82,65,103,323,Dexterity Drive,Electric,Naruto
338,Mine,Neutral,97,68,94,66,325,Time Attack,Neutral/DEF,Akame Ga Kill!
339,Minene Uryuu,Dark,87,90,83,62,322,Offensive Stance,-,Mirai Nikki
340,Mio Akiyama,Neutral,84,87,78,71,320,Amplifier,ATK,K On!
341,Mio Naruse,Fire,86,84,72,80,322,Breaker,DEF,Shinmai Maou No Testament
342,Mio Takamiya,Light,74,80,72,99,325,Double-edged Strike,Light/DEF,Date A Live
343,Miroku,Grass,92,93,67,74,326,Elemental Strike,Grass/ATK,Inuyasha
344,Misa Amane,Light,85,97,74,72,328,Pain For Power,-,Death Note
345,Misaka Mikoto,Electric,75,92,71,87,325,Overload,ATK,A Certain Scientific Railgun
346,Misery,Light,79,94,72,90,335,Rejuvenation,-,Bofuri
347,Mitsuba Sangu,Ground,87,73,65,94,319,Balancing Strike,-,Owari No Seraph
348,Miyuki Shirogane,Light,84,83,90,69,326,Regeneration,-,Love Is War
349,Mocha Hoto,Ground,65,93,72,92,322,Breaker,ATK,Gochuumon Wa Usagi Desu Ka
350,Momo Yaoyorozu,Ground,83,65,100,71,319,Protector,-,My Hero Academia
351,Monika,Light,72,88,75,93,328,Dominance,-,DDLC
352,Monkey D Luffy,Neutral,70,90,86,76,322,Elemental Strike,Neutral/ATK,One Piece
353,Morgiana,Fire,67,96,72,89,324,Double-edged Strike,Fire/ATK,Magi
354,Mori Jin,Ground,83,83,83,83,332,Divine Blessing,-,The God Of High School
355,Motoyasu Kitamura,Electric,72,90,82,81,325,Breaker,DEF,The Rising Of The Shield Hero
356,Mukuro Rokudo,Dark,85,65,91,79,320,Evasion,-,Katekyo Hitman Reborn
357,Nagi Seishiro,Dark,85,93,68,86,332,Ultimate Combo,-,Blue Lock
358,Nagisa Shiota,Water,81,93,74,80,328,Ultimate Combo,-,Assassination Classroom
359,Nagito Komaeda,Water,74,88,89,72,323,Lucky Coin,-,Danganronpa
360,Nami,Electric,70,85,75,95,325,Time Bomb,-,One Piece
361,Nana,Fire,75,80,75,95,325,Restricted Instinct,-,Elfen Lied
362,Naofumi Iwatani,Ground,78,67,100,78,323,Protector,-,The Rising Of The Shield Hero
363,Naomi Misora,Water,67,88,90,81,326,Endurance,-,Death Note
364,Naraku,Dark,83,62,96,79,320,Underdog,DEF,Inuyasha
365,Naruto Uzumaki,Fire,75,95,70,89,329,Elemental Strike,Fire/ATK,Naruto
366,Natsu Dragneel,Fire,80,95,64,81,320,Blaze,-,Fairy Tail
367,Natsuki,Water,95,78,77,74,324,Life Sap,-,DDLC
368,Near,Neutral,75,81,62,88,306,Trick Room,DEF,Death Note
369,Neji Hyuga,Grass,82,88,86,70,326,Ultimate Combo,-,Naruto
370,Nero,Dark,75,84,89,75,323,Protector,-,Black Clover
371,Nezuko Kamado,Dark,84,82,80,78,324,Vengeance,ATK,Demon Slayer
372,Nico Robin,Dark,90,90,70,70,320,Trick Room,DEF,One Piece
373,Nino Nakano,Light,76,95,76,76,323,Restricted Instinct,-,The Quintessential Quintuplets
374,No Face,Dark,83,91,80,74,328,Life Sap,-,Spirited Away
375,Nobara Kugisaki,Ground,95,73,78,85,331,Evasion,-,Jujutsu Kaisen
376,Nobuchika Ginoza,Neutral,95,66,78,85,324,Precision,-,Psycho Pass
377,Noda,Ground,78,92,86,70,326,Underdog,ATK,Angel Beats
378,Noelle Silva,Water,75,81,93,77,326,Amplifier,DEF,Black Clover
379,November,Water,87,82,81,75,325,Freeze,-,Darker Than Black
380,Nui Harime,Fire,66,89,97,70,322,Lucky Coin,-,Kill La Kill
381,Ochaco Uraraka,Light,92,97,63,70,322,Underdog,ATK,My Hero Academia
382,Okita Sougo,Water,81,93,74,78,326,Double-edged Strike,Water/ATK,Gintama
383,Origami Tobiichi,Water,94,76,79,73,322,Overload,ATK,Date A Live
384,Osamu Dazai,Dark,80,88,76,84,328,Unlucky Coin,-,Bungou Stray Dogs
385,Padoru,Water,90,95,70,80,335,Soul Stealer,DEF,Christmas Afterparty 2020
386,Pain,Dark,80,86,85,78,329,Executioner,-,Naruto
387,Payne,Light,80,84,85,77,326,Divine Blessing,-,Bofuri
388,Piccolo,Grass,62,83,99,76,320,Elemental Strike,Grass/DEF,Dragon Ball
389,Portgas D Ace,Fire,91,72,92,70,325,Blaze,-,One Piece
390,Power,Dark,73,92,86,82,333,Regeneration,-,Chainsaw Man
391,Priestess,Light,85,85,85,70,325,Protector,-,Goblin Slayer
392,Prince Diamond,Light,80,92,75,74,321,Offensive Stance,-,Sailor Moon
393,Puck,Light,70,90,78,89,327,Celestial Influence,-,Re:Zero
394,Rabo,Water,85,92,78,71,326,Executioner,-,Noragami
395,Ram,Grass,85,89,81,66,321,Elemental Strike,Grass/ATK,Re:Zero
396,Ranpo Edogawa,Electric,90,87,75,70,322,Trick Room,ATK,Bungou Stray Dogs
397,Raphtalia,Ground,91,85,87,61,324,Vengeance,ATK,The Rising Of The Shield Hero
398,Reborn,Neutral,73,94,76,76,319,Precision,-,Katekyo Hitman Reborn
399,Rei Hino (Sailor Mars),Fire,84,71,96,69,320,Blaze,-,Sailor Moon
400,Reimu Hakurei,Neutral,89,70,84,85,328,Celestial Blessing,-,Touhou
401,Reisen Udongein Inaba,Fire,91,78,85,80,334,Paralysis,-,Touhou
402,Reisuke Houjou,Ground,88,80,85,72,325,Poison,-,Mirai Nikki
403,Rem,Water,85,87,78,71,321,Paralysis,-,Re:Zero
404,Ren Amaki,Water,82,84,70,91,327,Precision,-,The Rising Of The Shield Hero
405,Ren Amamiya (Joker),Fire,75,84,90,82,331,Dominance,-,Persona 5
406,Ren Hakuryuu,Dark,84,87,68,84,323,Double-edged Strike,Dark/ATK,Magi
407,Rensuke Kunigami,Fire,78,96,82,73,329,Elemental Strike,Light/ATK,Blue Lock
408,Renzo Shima,Fire,98,92,63,70,323,Grievous Limiter,-,Ao No Exorcist
409,Reze,Fire,73,101,83,70,327,Time Bomb,-,Chainsaw Man
410,Rias Gremory,Fire,70,86,74,97,327,Dexterity Drive,Fire,High School DxD
411,Riko Saikawa,Grass,72,92,78,83,325,Breaker,DEF,Ms. Kobayashi's Dragon Maid
412,Rimuru Tempest,Water,67,102,76,79,324,Time Bomb,-,Tensei Shitara Slime Datta Ken
413,Rin Itoshi,Ground,82,79,90,90,341,Vengeance,ATK,Blue Lock
414,Rin Okumura,Fire,86,94,68,74,322,Rejuvenation,-,Ao No Exorcist
415,Rin Tohsaka,Fire,71,89,100,64,324,Amplifier,DEF,Fate
416,Rintarou Okabe,Neutral,85,90,86,60,321,Rejuvenation,-,Steins Gate
417,Ririka Momobami,Light,77,67,93,80,317,Trick Room,ATK,Kakegurui
418,Ritsu,Electric,83,91,80,71,325,Time Attack,Electric/DEF,Assassination Classroom
419,Ritsu Kageyama,Water,78,93,85,70,326,Overload,ATK,Mob Psycho 100
420,Ritsu Tainaka,Neutral,76,88,60,96,320,Dexterity Drive,Neutral,K On!
421,Riza Hawkeye,Fire,70,85,87,86,328,Precision,-,Fullmetal Alchemist
422,Rize Tedeza,Dark,93,86,76,69,324,Endurance,-,Gochuumon Wa Usagi Desu Ka
423,Rock Lee,Grass,76,87,80,76,319,Overload,ATK,Naruto
424,Roronoa Zoro,Ground,81,84,71,90,326,Breaker,ATK,One Piece
425,Rossweisse,Light,74,72,90,93,329,Amplifier,DEF,High School DxD
426,Roy Mustang,Fire,84,87,70,83,324,Pain For Power,-,Fullmetal Alchemist
427,Ruby Rose,Dark,84,90,79,83,336,Executioner,-,RWBY
428,Ruka Urushibara,Ground,92,84,70,80,326,Reversion,-,Nov 2021 Event
429,Rukia Kuchiki,Water,97,75,65,83,320,Paralysis,-,Bleach
430,Ryo Kurokiba,Dark,78,85,92,70,325,Balancing Strike,-,Shokugeki No Soma
431,Ryohei Sasagawa,Fire,93,70,96,63,322,Balancing Strike,-,Katekyo Hitman Reborn
432,Ryota Suzui,Neutral,78,87,87,78,330,Protector,-,Kakegurui
433,Ryuji Suguro,Fire,88,75,62,98,323,Time Bomb,-,Ao No Exorcist
434,Ryuk,Dark,83,100,82,86,351,Recoil,-,Death Note
435,Ryuko Matoi,Fire,81,96,77,70,324,Celestial Influence,-,Kill La Kill
436,Ryuu Lion,Grass,84,70,82,91,327,Ultimate Combo,-,Danmachi
437,Sae Itoshi,Water,90,90,73,80,333,Precision,-,Blue Lock
438,Saika Totsuka,Water,73,93,84,78,328,Bloodthirster,-,Nov 2021 Event
439,Saitama,Neutral,66,103,80,68,317,Double-edged Strike,Neutral/ATK,One Punch Man
440,Sakura Haruno,Neutral,85,71,76,90,322,Vengeance,SPD,Naruto
441,Sakura Matou,Dark,96,68,77,79,320,Protector,-,Fate
442,Sally,Water,73,94,83,76,326,Pain For Power,-,Bofuri
443,Sango,Ground,93,81,81,70,325,Vengeance,DEF,Inuyasha
444,Sanji,Fire,76,91,77,81,325,Double-edged Strike,Fire/ATK,One Piece
445,Sans,Water,80,83,72,97,332,Mana Reaver,-,Undertale
446,Sasuke Uchiha,Dark,89,80,83,75,327,Blaze,-,Naruto
447,Saten Ruiko,Grass,86,90,73,75,324,Amplifier,ATK,A Certain Scientific Railgun
448,Satoru Gojo,Electric,86,83,78,78,325,Berserker,ATK,Jujutsu Kaisen
449,Satoshi Isshiki,Neutral,82,83,70,87,322,Mana Reaver,-,Shokugeki No Soma
450,Satsuki Kiryuin,Neutral,93,83,81,64,321,Lucky Coin,-,Kill La Kill
451,Sayaka Maizono,Light,78,68,90,92,328,Endurance,-,Danganronpa
452,Sayori,Light,80,72,92,81,325,Overload,DEF,DDLC
453,Scar,Electric,88,79,68,94,329,Dexterity Drive,Electric,Fullmetal Alchemist
454,Scathach,Ground,76,95,71,78,320,Precision,-,Fate
455,Sebas Tian,Dark,77,82,90,74,323,Amplifier,DEF,Overlord
456,Senku Ishigami,Ground,100,83,67,76,326,Breaker,DEF,Dr. Stone
457,Sesshomaru,Light,88,71,99,62,320,Divine Blessing,-,Inuyasha
458,Shalltear Bloodfallen,Dark,100,67,93,63,323,Poison,-,Overlord
459,Sharo Kirima,Electric,67,89,78,92,326,Lucky Coin,-,Gochuumon Wa Usagi Desu Ka
460,Shido Itsuka,Water,86,64,83,92,325,Double-edged Strike,Water/DEF,Date A Live
461,Shiemi Moriyama,Grass,92,63,67,102,324,Restricted Instinct,-,Ao No Exorcist
462,Shigeo Kageyama,Neutral,85,81,80,86,332,Reversion,-,Mob Psycho 100
463,Shikamaru Nara,Ground,76,84,89,75,324,Grievous Limiter,-,Naruto
464,Shimura Shinpachi,Ground,85,70,78,93,326,Ultimate Combo,-,Gintama
465,Shinoa Hiragi,Neutral,85,97,74,69,325,Executioner,-,Owari No Seraph
466,Shinobu Kocho,Grass,93,83,80,72,328,Poison,-,Demon Slayer
467,Shinra Kusakabe,Fire,83,94,78,71,326,Elemental Strike,Fire/ATK,Fire Force
468,Shinya Hiragi,Fire,75,101,73,73,322,Underdog,DEF,Owari No Seraph
469,Shinya Kogami,Dark,100,67,83,80,330,Grievous Limiter,-,Psycho Pass
470,Shion,Grass,78,101,78,67,324,Time Attack,Grass/ATK,Tensei Shitara Slime Datta Ken
471,Shirai Kuroko,Neutral,73,89,72,89,323,Evasion,-,A Certain Scientific Railgun
472,Shirley Fenette,Fire,88,76,63,98,325,Grievous Limiter,-,Code Geass
473,Shiro,Water,82,96,80,66,324,Grievous Limiter,-,No Game No Life
474,Shirou Emiya,Fire,72,90,85,80,327,Vengeance,ATK,Fate
475,Shizue Izawa,Fire,85,67,90,83,325,Time Attack,Fire/DEF,Tensei Shitara Slime Datta Ken
476,Sho Suzuki,Neutral,68,95,68,97,328,Time Bomb,-,Mob Psycho 100
477,Shogo Makishima,Dark,95,76,70,88,329,Miracle Injection,-,Psycho Pass
478,Shokuhou Misaki,Neutral,78,93,81,71,323,Restricted Instinct,-,A Certain Scientific Railgun
479,Shota Aizawa (Eraser Head),Electric,63,87,78,97,325,Restricted Instinct,-,My Hero Academia
480,Shoto Todoroki,Water,96,84,75,64,319,Precision,-,My Hero Academia
481,Shoyo Hinata,Light,70,89,72,102,333,Evasion,-,Haikyuu!!
482,Shrek,Neutral,80,88,75,95,338,Freeze,-,Shrek
483,Shusei Kagari,Electric,68,78,99,81,326,Miracle Injection,-,Psycho Pass
484,Sinbad,Grass,80,89,71,83,323,Executioner,-,Magi
485,Sinon,Light,74,87,75,90,326,Precision,-,Sword Art Online
486,Skeleton,Dark,75,75,75,75,300,Mana Reaver,-,Halloween Event
487,Soma Yukihira,Fire,86,86,70,85,327,Mana Reaver,-,Shokugeki No Soma
488,Son Goku,Electric,80,91,70,85,326,Balancing Strike,-,Dragon Ball
489,Sora,Fire,92,55,76,89,312,Trick Room,ATK,No Game No Life
490,Sosuke Aizen,Dark,81,92,73,80,326,Restricted Instinct,-,Bleach
491,Souei,Water,74,80,80,90,324,Restricted Instinct,-,Tensei Shitara Slime Datta Ken
492,Soul Evans,Light,65,85,85,91,326,Overload,ATK,Soul Eater
493,Spike Spiegel,Neutral,81,98,71,80,330,Precision,-,Cowboy Bebop
494,Squalo,Water,86,82,86,76,330,Freeze,-,Katekyo Hitman Reborn
495,Staz C Blood,Dark,90,87,80,64,321,Bloodthirster,-,Blood Lad
496,Stephanie Dola,Light,86,72,96,70,324,Amplifier,DEF,No Game No Life
497,Subaru Natsuki,Dark,82,80,80,80,322,Endurance,-,Re:Zero
498,Suika,Grass,88,82,78,78,326,Grievous Limiter,-,Dr. Stone
499,Suou Pavlichenko,Neutral,76,97,75,83,331,Protector,-,Darker Than Black
500,Suzaku Kururugi,Neutral,83,79,71,87,320,Precision,-,Code Geass
501,Suzuha Amane,Neutral,76,92,70,88,326,Vengeance,DEF,Steins Gate
502,Suzuya Juuzou,Light,72,66,94,90,322,Vengeance,ATK,Tokyo Ghoul
503,Sword Maiden,Light,75,84,70,96,325,Evasion,-,Goblin Slayer
504,Takashi Mitsuya,Neutral,80,72,95,85,332,Vengeance,ATK,Tokyo Revengers
505,Takasugi Shinsuke,Neutral,80,84,75,88,327,Pain For Power,-,Gintama
506,Takehisa Hinawa,Fire,88,77,58,90,313,Trick Room,DEF,Fire Force
507,Takemichi Hanagaki,Dark,85,78,79,87,329,Reversion,-,Tokyo Revengers
508,Takeshi Yamamoto,Water,78,101,76,65,320,Executioner,-,Katekyo Hitman Reborn
509,Takumi Aldini,Light,78,84,70,92,324,Time Bomb,-,Shokugeki No Soma
510,Tamaki Kotatsu,Fire,87,93,70,76,326,Transformation,ATK,Fire Force
511,Tanjiro Kamado,Water,80,82,77,89,328,Berserker,DEF,Demon Slayer
512,Tao Ren,Electric,73,95,80,70,318,Transformation,ATK,Shaman King
513,Tatsumaki,Grass,74,78,69,98,319,Dexterity Drive,Grass,One Punch Man
514,Tatsumi,Dark,87,78,78,87,330,Transformation,ATK,Akame Ga Kill!
515,Teruki Hanazawa,Light,77,87,80,83,327,Precision,-,Mob Psycho 100
516,Tet,Dark,82,84,83,78,327,Lucky Coin,-,No Game No Life
517,Tetsuro Kuroo,Neutral,90,79,81,74,324,Balancing Strike,-,Haikyuu!!
518,Tobio Kageyama,Fire,70,91,92,72,325,Pain For Power,-,Haikyuu!!
519,Toge Inumaki,Neutral,86,89,73,81,329,Paralysis,-,Jujutsu Kaisen
520,Tohka Yatogami,Water,65,92,99,62,318,Executioner,-,Date A Live
521,Tohru,Fire,80,75,88,84,327,Poison,-,Ms. Kobayashi's Dragon Maid
522,Toko Fukawa,Dark,78,77,80,94,329,Restricted Instinct,-,Danganronpa
523,Tony Tony Chopper,Ground,90,72,97,64,323,Transformation,ATK,One Piece
524,Toshiro Hitsugaya,Water,91,80,89,60,320,Freeze,-,Bleach
525,Touka Kirishima,Dark,75,83,84,86,328,Poison,-,Tokyo Ghoul
526,Trafalgar D Law,Water,87,74,81,80,322,Temporal Rewind,-,One Piece
527,Trunks,Electric,88,80,82,77,327,Time Bomb,-,Dragon Ball
528,Tsubaki Kasugano,Dark,67,88,77,89,321,Overload,ATK,Mirai Nikki
529,Tsukasa Shishio,Ground,90,91,71,75,327,Bloodthirster,-,Dr. Stone
530,Tsukuyo,Ground,83,89,73,81,326,Precision,-,Gintama
531,Tsumugi Kotobuki,Light,72,77,85,91,325,Regeneration,-,K On!
532,Tsunayoshi Sawada (Tsuna),Fire,70,95,87,67,319,Underdog,ATK,Katekyo Hitman Reborn
533,Ukyo Saionji,Grass,70,90,78,83,321,Breaker,ATK,Dr. Stone
534,Ulquiorra Schiffer,Dark,82,92,79,65,318,Overload,ATK,Bleach
535,Usagi Tsukino (Sailor Moon),Light,94,79,61,91,325,Trick Room,ATK,Sailor Moon
536,Usopp,Neutral,70,74,86,93,323,Dexterity Drive,Neutral,One Piece
537,Uzu Sanageyama,Grass,82,73,78,90,323,Celestial Influence,-,Kill La Kill
538,Vegeta,Electric,80,92,73,75,320,Vengeance,DEF,Dragon Ball
539,Vicious,Dark,90,90,70,75,325,Balancing Strike,-,Cowboy Bebop
540,Violet Evergarden,Grass,74,93,80,90,337,Breaker,DEF,Violet Evergarden
541,Wave,Water,75,92,71,88,326,Evasion,-,Akame Ga Kill!
542,Weiss Schnee,Water,84,80,72,97,333,Dexterity Drive,Water,RWBY
543,Wendy Marvell,Light,61,92,80,89,322,Elemental Strike,Light/ATK,Fairy Tail
544,Wiz,Water,85,72,85,88,330,Berserker,DEF,Konosuba
545,Wolf,Neutral,70,89,81,86,326,Blood Surge,-,Blood Lad
546,Yami Sukehiro,Dark,98,105,71,82,356,Recoil,-,Black Clover
547,Yato,Neutral,76,85,82,80,323,Breaker,DEF,Noragami
548,Yin,Water,86,88,68,77,319,Paralysis,-,Darker Than Black
549,Yoh Asakura,Neutral,85,92,80,70,327,Double-edged Strike,Light/DEF,Shaman King
550,Yoichi Isagi,Grass,85,85,83,83,336,Breaker,DEF,Blue Lock
551,Yoichi Saotome,Grass,94,80,82,65,321,Balancing Strike,-,Owari No Seraph
552,Yoko Kurama,Grass,71,95,81,81,328,Dominance,-,Yu Yu Hakusho
553,Yor Forger,Dark,70,98,82,80,330,Divine Blessing,-,Spy X Family
554,Yoshino,Water,83,82,81,80,326,Temporal Rewind,-,Date A Live
555,Yotsuba Nakano,Grass,80,80,85,80,325,Reversion,-,The Quintessential Quintuplets
556,Yu Ishigami,Neutral,72,92,80,83,327,Bloodthirster,-,Love Is War
557,Yu Nishinoya,Electric,92,71,82,82,327,Endurance,-,Haikyuu!!
558,Yui,Neutral,84,72,76,100,332,Precision,-,Angel Beats
559,Yui Hirasawa,Light,67,94,71,86,318,Paralysis,-,K On!
560,Yuichiro Hyakuya,Fire,80,80,75,87,322,Offensive Stance,-,Owari No Seraph
561,Yuji Itadori,Ground,80,90,75,85,330,Unlucky Coin,-,Jujutsu Kaisen
562,Yuki Nonaka,Light,83,84,76,83,326,Balancing Strike,-,Shinmai Maou No Testament
563,Yukichi Fukuzawa,Water,89,94,65,77,325,Restricted Instinct,-,Bungou Stray Dogs
564,Yukina,Water,83,92,77,80,332,Celestial Blessing,-,Yu Yu Hakusho
565,Yukine,Water,74,83,90,76,323,Divine Blessing,-,Noragami
566,Yukio Okumura,Neutral,71,95,74,85,325,Celestial Influence,-,Ao No Exorcist
567,Yukiteru Amano,Neutral,98,66,100,64,328,Offensive Stance,-,Mirai Nikki
568,Yumeko Jabami,Dark,60,90,90,90,330,Lucky Coin,-,Kakegurui
569,Yuno,Grass,68,84,84,87,323,Elemental Strike,Grass/DEF,Black Clover
570,Yuno Gasai,Dark,75,90,83,70,318,Blood Surge,-,Mirai Nikki
571,Yunyun,Water,72,93,91,69,325,Vengeance,ATK,Konosuba
572,Yuri,Dark,78,87,85,75,325,Pain For Power,-,DDLC
573,Yuri Briar,Neutral,95,67,90,75,327,Restricted Instinct,-,Spy X Family
574,Yuri Nakamura,Neutral,73,85,82,87,327,Precision,-,Angel Beats
575,Yuriko Nishinotouin,Grass,76,85,75,89,325,Restricted Instinct,-,Kakegurui
576,Yusuke Urameshi,Electric,98,73,72,78,321,Endurance,-,Yu Yu Hakusho
577,Yuta Okkotsu,Dark,85,93,73,76,327,Paralysis,-,Jujutsu Kaisen
578,Yuzuru Otonashi,Neutral,85,87,70,87,329,Precision,-,Angel Beats
579,Zenitsu Agatsuma,Electric,80,73,87,88,328,Paralysis,-,Demon Slayer
580,Zero Two,Light,87,84,76,79,326,Double-edged Strike,Light/DEF,Darling In The Franxx
581,Zest,Dark,80,71,83,95,329,Dexterity Drive,Dark,Shinmai Maou No Testament
582,Zombieman,Dark,70,97,69,83,319,Blood Surge,-,One Punch Man
583,Zora Ideale,Dark,91,95,71,66,323,Elemental Strike,Dark/ATK,Black Clover
584,Gyro Zeppeli,Ground,84,89,75,80,328,Offensive Stance,-,Jojos Bizarre Adventure
585,First Hassan,Dark,78,92,74,90,334,Executioner,-,Fate
586,Chuuya Nakahara,Dark,70,89,82,89,330,Unlucky Coin,-,Bungou Stray Dogs
587,Asuka Langley Sohryu,Ground,81,75,94,82,332,Overload,DEF,Evangelion
588,Shinji Ikari,Neutral,90,76,76,90,332,Endurance,-,Evangelion
589,Rei Ayanami,Dark,80,91,85,71,327,Soul Stealer,ATK,Evangelion
590,Gendo Ikari,Electric,70,80,70,95,315,Trick Room,DEF,Evangelion
591,Kaworu Nagisa,Dark,71,86,91,83,331,Soul Stealer,DEF,Evangelion
592,Mari Makinami,Ground,75,90,82,78,325,Ultimate Combo,-,Evangelion
593,Misato Katsuragi,Ground,82,94,80,61,317,Time Attack,Ground/ATK,Evangelion
594,Ryoji Kaji,Neutral,70,80,90,89,329,Underdog,ATK,Evangelion
595,Zeref Dragneel,Dark,90,78,86,90,344,Reversion,-,Fairy Tail
596,Celestia Ludenberg,Dark,91,70,78,89,328,Unlucky Coin,-,Danganronpa
597,Broly,Ground,75,95,78,80,328,Pain For Power,-,Dragon Ball
598,Flashy Flash,Light,84,70,77,100,331,Dexterity Drive,Dark,One Punch Man
599,Fubuki,Grass,83,79,83,80,325,Celestial Blessing,-,One Punch Man
600,Kyojuro Rengoku,Fire,81,93,74,80,328,Berserker,ATK,Demon Slayer
601,Muzan Kibutsuji,Dark,95,75,80,75,325,Devour,-,Demon Slayer
602,Edward Newgate (Whitebeard),Ground,80,88,88,70,326,Berserker,DEF,One Piece
603,Ryomen Sukuna,Fire,85,78,85,78,326,Life Sap,-,Jujutsu Kaisen
604,Obanai Iguro,Light,77,90,85,75,327,Poison,-,Demon Slayer
605,Kuchiki Byakuya,Light,70,93,91,70,324,Time Attack,Light/ATK,Bleach
606,Ken Sudo,Fire,83,87,80,75,325,Double-edged Strike,Fire/DEF,Classroom Of The Elite
607,Suzune Horikita,Water,85,71,92,83,331,Dominance,-,Classroom Of The Elite
608,Kiyotaka Ayanokouji,Neutral,80,80,60,90,310,Trick Room,DEF,Classroom Of The Elite
609,Kikyou Kushida,Light,81,78,83,86,328,Mana Reaver,-,Classroom Of The Elite
610,Honami Ichinose,Light,70,90,87,81,328,Soul Stealer,DEF,Classroom Of The Elite
611,Airi Sakura,Water,72,78,91,93,334,Endurance,-,Classroom Of The Elite
612,Kei Karuizawa,Water,74,80,85,88,327,Breaker,DEF,Classroom Of The Elite
613,Cell,Ground,91,78,80,78,327,Devour,-,Dragon Ball
614,Acnologia,Neutral,84,77,93,73,327,Devour,-,Fairy Tail
615,Mai Sakurajima,Water,91,80,86,70,327,Evasion,-,Bunny Girl Senpai
616,Buddha,Light,80,74,91,81,326,Celestial Blessing,-,Record Of Ragnarok
617,Adam,Light,93,77,76,84,330,Reflector,-,Record Of Ragnarok
618,Shiva,Ground,88,92,73,76,329,Blaze,-,Record Of Ragnarok
619,Brunhilde,Neutral,90,87,78,72,327,Underdog,DEF,Record Of Ragnarok
620,Thor,Electric,70,95,70,90,325,Double-edged Strike,Electric/ATK,Record Of Ragnarok
621,Lu Bu,Ground,80,76,84,90,330,Endurance,-,Record Of Ragnarok
622,Jack The Ripper,Light,80,81,63,91,315,Trick Room,DEF,Record Of Ragnarok
623,Twenty Fifth Bam,Water,78,88,78,88,332,Berserker,ATK,Tower Of God
624,Khun Aguero Agnis,Fire,95,73,80,81,329,Protector,-,Tower Of God
625,Rak Wraithraiser,Ground,80,94,71,81,326,Double-edged Strike,Ground/ATK,Tower Of God
626,Anaak Zahard,Grass,75,86,70,92,323,Berserker,ATK,Tower Of God
627,Hatz,Fire,78,80,79,91,328,Ultimate Combo,-,Tower Of God
628,Endorsi Zahard,Light,77,91,75,88,331,Grievous Limiter,-,Tower Of God
629,Lero Ro,Neutral,79,95,70,83,327,Unlucky Coin,-,Tower Of God
630,Ha Yuri Zahard,Electric,71,93,90,76,330,Amplifier,DEF,Tower Of God
631,Rachel,Dark,75,79,84,88,326,Celestial Blessing,-,Tower Of God
632,Yue,Dark,76,83,104,68,331,Celestial Blessing,-,Arifureta
633,Hajime Nagumo,Light,91,82,74,81,328,Miracle Injection,-,Arifureta
634,Shea Haulia,Neutral,64,90,63,93,310,Overload,ATK,Arifureta
635,Tio Klarus,Dark,96,82,88,58,324,Transformation,DEF,Arifureta
636,Shizuku Yaegashi,Electric,85,86,82,74,327,Berserker,DEF,Arifureta
637,Kaori Shirasaki,Water,91,73,94,68,326,Protector,-,Arifureta
638,Myu,Water,96,85,83,68,332,Reversion,-,Arifureta
639,Aiko Hatayama,Grass,82,91,67,72,312,Trick Room,DEF,Arifureta
640,Miledi Reisen,Electric,81,84,83,76,324,Celestial Blessing,-,Arifureta
641,Meiru Melusine,Water,86,89,84,71,330,Overload,DEF,Arifureta
642,Lyutillis Haltina,Grass,87,82,85,74,328,Endurance,-,Arifureta
643,Madoka Kaname,Light,81,80,93,73,327,Time Attack,Fire/DEF,Madoka Magica
644,Homura Akemi,Dark,71,88,84,84,327,Time Attack,Dark/ATK,Madoka Magica
645,Mami Tomoe,Light,61,90,64,99,314,Restricted Instinct,-,Madoka Magica
646,Sayaka Miki,Water,84,63,90,82,319,Rejuvenation,-,Madoka Magica
647,Kyoko Sakura,Fire,83,87,67,83,320,Trick Room,DEF,Madoka Magica
648,Iroha Tamaki,Light,81,76,82,89,328,Reversion,-,Madoka Magica
649,Yachiyo Nanami,Water,80,81,83,81,325,Soul Stealer,ATK,Madoka Magica
650,Rena Minami,Water,79,85,68,94,326,Mana Reaver,-,Madoka Magica
651,Sana Futaba,Grass,87,76,100,63,326,Ultimate Combo,-,Madoka Magica
652,Houtarou Oreki,Neutral,74,91,78,94,337,Grievous Limiter,-,Hyouka
653,Eru Chitanda,Neutral,80,84,81,92,337,Soul Stealer,ATK,Hyouka
654,Zelda,Light,90,76,90,80,336,Mana Reaver,-,The Legend Of Zelda
655,Link,Grass,81,96,73,86,336,Underdog,ATK,The Legend Of Zelda
656,Umaru Doma,Fire,78,70,78,90,316,Celestial Influence,-,Himouto Umaru Chan
657,Ray,Ground,76,62,93,95,326,Trick Room,ATK,Promised Neverland
658,Emma,Fire,76,62,93,95,326,Endurance,-,Promised Neverland
